id;year;title;studios;producers;winner
1;1980;Can't Stop the Music;Associated Film Distribution;Allan Carr;yes
2;1980;Cruising;Lorimar Productions, United Artists;Jerry Weintraub;
3;1980;The Formula;MGM, United Artists;Steve Shagan;
4;1980;Friday the 13th;Paramount Pictures;Sean S. Cunningham;
5;1980;The Nude Bomb;Universal Studios;Jennings Lang;
6;1980;The Jazz Singer;Associated Film Distribution;Jerry Leider;
7;1980;Raise the Titanic;Associated Film Distribution;William Frye;
8;1980;Saturn 3;Associated Film Distribution;Stanley Donen;
9;1980;Windows;United Artists;Mike Lobell;
10;1980;Xanadu;Universal Studios;Lawrence Gordon;
11;1981;Mommie Dearest;Paramount Pictures;Frank Yablans;yes
12;1981;Endless Love;Universal Studios, PolyGram;Dyson Lovell;
13;1981;Heaven's Gate;United Artists;Joann Carelli;
14;1981;The Legend of the Lone Ranger;Universal Studios, Associated Film Distribution;Walter Coblenz;
15;1981;Tarzan, the Ape Man;MGM, United Artists;John Derek;
16;1982;Inchon;MGM;Mitsuharu Ishii;yes
17;1982;Annie;Columbia Pictures;Ray Stark;
18;1982;Butterfly;Analysis Film Releasing;Matt Cimber;
19;1982;Megaforce;20th Century Fox;Albert S. Ruddy;
20;1982;The Pirate Movie;20th Century Fox;David Joseph;
21;1983;The Lonely Lady;Universal Studios;Robert R. Weston;yes
22;1983;Hercules;MGM, United Artists, Cannon Films;Yoram Globus and Menahem Golan;
23;1983;Jaws 3-D;Universal Studios;Rupert Hitzig;
24;1983;Stroker Ace;Warner Bros., Universal Studios;Hank Moonjean;
25;1983;Two of a Kind;20th Century Fox;Roger M. Rothstein and Joe Wizan;
26;1984;Bolero;Cannon Films;Bo Derek;yes
27;1984;Cannonball Run II;Warner Bros.;Albert S. Ruddy;
28;1984;Rhinestone;20th Century Fox;Marvin Worth and Howard Smith;
29;1984;Sheena;Columbia Pictures;Paul Aratow;
30;1984;Where the Boys Are '84;TriStar Pictures;Allan Carr;
31;1985;Rambo: First Blood Part II;Columbia Pictures;Buzz Feitshans;yes
32;1985;Fever Pitch;MGM, United Artists;Freddie Fields;
33;1985;Revolution;Warner Bros.;Irwin Winkler;
34;1985;Rocky IV;MGM, United Artists;Irwin Winkler and Robert Chartoff;
35;1985;Year of the Dragon;MGM, United Artists;Dino De Laurentiis;
36;1986;Howard the Duck;Universal Studios;Gloria Katz;yes
37;1986;Under the Cherry Moon;Warner Bros.;Bob Cavallo, Joe Ruffalo and Steve Fargnoli;yes
38;1986;Blue City;Paramount Pictures;William L. Hayward and Walter Hill;
39;1986;Cobra;Warner Bros., Cannon Films;Yoram Globus and Menahem Golan;
40;1986;Shanghai Surprise;MGM;John Kohn;
41;1987;Leonard Part 6;Columbia Pictures;Bill Cosby;yes
42;1987;Ishtar;Columbia Pictures;Warren Beatty;
43;1987;Jaws: The Revenge;Universal Studios;Joseph Sargent;
44;1987;Tough Guys Don't Dance;Cannon Films;Yoram Globus and Menahem Golan;
45;1987;Who's That Girl;Warner Bros.;Rosilyn Heller and Bernard Williams;
46;1988;Cocktail;Touchstone Pictures;Ted Field and Robert W. Cort;yes
47;1988;Caddyshack II;Warner Bros.;Neil Canton, Jon Peters and Peter Guber;
48;1988;Hot to Trot;Warner Bros.;Steve Tisch;
49;1988;Mac and Me;Orion Pictures;R. J. Louis;
50;1988;Rambo III;TriStar Pictures, Carolco Pictures;Buzz Feitshans;
51;1989;Star Trek V: The Final Frontier;Paramount Pictures;Harve Bennett;yes
52;1989;The Karate Kid Part III;Columbia Pictures;Jerry Weintraub;
53;1989;Lock Up;TriStar Pictures, Carolco Pictures;Charles Gordon and Lawrence Gordon;
54;1989;Road House;United Artists;Joel Silver;
55;1989;Speed Zone;Orion Pictures;Murray Shostack;
56;1990;The Adventures of Ford Fairlane;20th Century Fox;Steven Perry and Joel Silver;yes
57;1990;Ghosts Can't Do It;Triumph Releasing;Bo Derek;yes
58;1990;The Bonfire of the Vanities;Warner Bros.;Brian De Palma;
59;1990;Graffiti Bridge;Warner Bros.;Randy Phillips and Craig Rice;
60;1990;Rocky V;United Artists;Robert Chartoff and Irwin Winkler;
61;1991;Hudson Hawk;TriStar Pictures;Joel Silver;yes
62;1991;Cool as Ice;Universal Studios;Carolyn Pfeiffer and Lionel Wingram;
63;1991;Dice Rules;Seven Arts Productions;Loucas George;
64;1991;Nothing but Trouble;Warner Bros.;Lester Berman and Robert K. Weiss;
65;1991;Return to the Blue Lagoon;Columbia Pictures;William A. Graham;
66;1992;Shining Through;20th Century Fox;Carol Baum and Howard Rosenman;yes
